dataset,fold,strategy,shap_seconds,stage1_seconds,pipeline_seconds,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
KC2,1,two_shap,2.279,4.471,4.85,0.6122448979591837,0.8335158817086527,0.573066255853218,0.5002526954339216,0.7637028605064102,0.5555555555555556,0.6818181818181818,0.8554216867469879
KC2,1,single_shap,0.921,3.214,3.621,0.5833333333333334,0.8291347207009858,0.55917465059413,0.4636878651600238,0.7378070582493966,0.5384615384615384,0.6363636363636364,0.8554216867469879
KC2,2,two_shap,1.99,4.696,5.176,0.5,0.7719449225473322,0.6187689688482968,0.4071010980436091,0.6305476678616638,0.6,0.4285714285714285,0.927710843373494
KC2,2,single_shap,0.904,4.012,4.394,0.5,0.7555938037865749,0.6050091402170616,0.4071010980436091,0.6305476678616638,0.6,0.4285714285714285,0.927710843373494
KC2,3,two_shap,1.912,4.613,5.035,0.6530612244897959,0.8580034423407916,0.5676093611542663,0.5586988352502638,0.8073102604136365,0.5714285714285714,0.7619047619047619,0.8554216867469879
KC2,3,single_shap,0.921,3.603,3.953,0.64,0.8620195065978199,0.6147548444701616,0.5418438337831137,0.8016048160562024,0.5517241379310345,0.7619047619047619,0.8433734939759037
KC2,4,two_shap,1.164,3.295,3.545,0.5,0.6970740103270223,0.4119383736127802,0.3820525235329571,0.6515791312760104,0.5263157894736842,0.4761904761904761,0.891566265060241
KC2,4,single_shap,0.398,2.482,2.739,0.5128205128205128,0.699655765920826,0.4427760412196236,0.4030174193009148,0.6559669191104821,0.5555555555555556,0.4761904761904761,0.9036144578313252
MC2,0,two_shap,0.194,13.29,13.623,0.5882352941176471,0.6875,0.6832357428097096,0.378726042189707,0.6718548123582124,0.625,0.5555555555555556,0.8125
MC2,0,single_shap,0.053,11.284,11.652,0.6666666666666666,0.7222222222222222,0.7407651072124757,0.5541466051858357,0.7216878364870323,0.8333333333333334,0.5555555555555556,0.9375
MC2,1,two_shap,0.168,5.601,8.077,0.5555555555555556,0.7951388888888888,0.7846560846560848,0.3055555555555556,0.6454972243679028,0.5555555555555556,0.5555555555555556,0.75
MC2,1,single_shap,0.068,5.376,5.697,0.5263157894736842,0.7777777777777777,0.7726158645276292,0.23814483610392,0.6180165405913053,0.5,0.5555555555555556,0.6875
MC2,2,two_shap,0.211,6.008,6.318,0.5714285714285714,0.8472222222222222,0.803003423591659,0.4583333333333333,0.6454972243679028,0.8,0.4444444444444444,0.9375
MC2,2,single_shap,0.059,6.439,6.765,0.5333333333333333,0.8159722222222221,0.7480300076791305,0.3590245611063161,0.6236095644623235,0.6666666666666666,0.4444444444444444,0.875
MC2,3,two_shap,0.122,5.593,5.896,0.0,0.6041666666666666,0.4397935277988672,-0.1530931089239486,0.0,0.0,0.0,0.9375
MC2,3,single_shap,0.028,5.612,5.952,0.1666666666666666,0.6145833333333333,0.4288108577582262,-0.0205152484965554,0.3118047822311617,0.3333333333333333,0.1111111111111111,0.875
MC2,4,two_shap,0.178,5.193,5.524,0.7368421052631579,0.8359375,0.6822916666666665,0.5913123959890826,0.8100925873009825,0.6363636363636364,0.875,0.75
MC2,4,single_shap,0.054,6.447,6.774,0.7777777777777778,0.8359375,0.6788690476190476,0.6573757351339165,0.8431710977020026,0.7,0.875,0.8125
MW1,0,two_shap,0.305,17.151,17.515,0.5,0.7622222222222222,0.4637606837606838,0.4418993202399135,0.7393691004272944,0.4285714285714285,0.6,0.9111111111111112
MW1,0,single_shap,0.097,15.237,15.59,0.4,0.7466666666666667,0.430072463768116,0.3333333333333333,0.6110100926607787,0.4,0.4,0.9333333333333332
MW1,1,two_shap,0.278,8.819,9.173,0.5454545454545454,0.7377777777777778,0.5177777777777778,0.4923659639173309,0.7483314773547882,0.5,0.6,0.9333333333333332
MW1,1,single_shap,0.096,8.771,9.149,0.5,0.6666666666666666,0.4938461538461538,0.4418993202399135,0.7393691004272944,0.4285714285714285,0.6,0.9111111111111112
MW1,2,two_shap,0.299,7.411,9.834,0.5,0.6288888888888889,0.5381818181818181,0.477219421937694,0.6253887679764573,0.6666666666666666,0.4,0.9777777777777776
MW1,2,single_shap,0.047,6.312,6.708,0.5,0.6555555555555556,0.5410526315789475,0.477219421937694,0.6253887679764573,0.6666666666666666,0.4,0.9777777777777776
MW1,3,two_shap,0.231,8.452,8.825,0.1818181818181818,0.6755555555555556,0.2037851037851037,0.0820609939862218,0.4216370213557839,0.1666666666666666,0.2,0.8888888888888888
MW1,3,single_shap,0.106,8.15,8.5,0.1666666666666666,0.6444444444444445,0.2013468013468013,0.0576390417704235,0.4163331998932265,0.1428571428571428,0.2,0.8666666666666667
MW1,4,two_shap,0.272,6.773,7.155,0.4444444444444444,0.6933333333333334,0.3071635610766045,0.3931785497463923,0.6182412330330469,0.5,0.4,0.9555555555555556
MW1,4,single_shap,0.108,6.6,6.997,0.4,0.6933333333333334,0.339047619047619,0.3333333333333333,0.6110100926607787,0.4,0.4,0.9333333333333332
PC1,0,two_shap,5.371,18.395,18.912,0.4,0.7888888888888889,0.3721731012907483,0.3540593369228889,0.6613313074614444,0.35,0.4666666666666667,0.9371980676328504
PC1,0,single_shap,2.012,14.073,14.577,0.4210526315789473,0.7950080515297907,0.4015621958253537,0.3795931575029914,0.7033391716221727,0.3478260869565217,0.5333333333333333,0.927536231884058
PC1,1,two_shap,4.885,10.513,11.04,0.3870967741935484,0.852818035426731,0.4135364937823803,0.3413486853695465,0.6169897312779327,0.375,0.4,0.9516908212560388
PC1,1,single_shap,1.882,7.478,7.919,0.3636363636363636,0.8719806763285024,0.4571483682292485,0.3145157353285406,0.6138498140448513,0.3333333333333333,0.4,0.9420289855072465
PC1,2,two_shap,5.386,10.776,11.392,0.4444444444444444,0.904126213592233,0.5096528656865689,0.3990038543014097,0.6862024383574915,0.4,0.5,0.941747572815534
PC1,2,single_shap,2.348,7.886,8.411,0.4705882352941176,0.908373786407767,0.5216357148066707,0.4277184589711779,0.6897304947150052,0.4444444444444444,0.5,0.9514563106796116
PC1,3,two_shap,5.266,9.736,10.337,0.24,0.841626213592233,0.3113377849333428,0.2076662138931735,0.4266600929914307,0.3333333333333333,0.1875,0.970873786407767
PC1,3,single_shap,1.78,6.272,6.824,0.2608695652173913,0.8557342233009709,0.3311992431632296,0.2487413077285307,0.4287880867059752,0.4285714285714285,0.1875,0.9805825242718448
PC1,4,two_shap,6.659,11.261,11.817,0.5625,0.9325242718446602,0.5794426935526007,0.5297004099222924,0.7594070246753144,0.5294117647058824,0.6,0.9611650485436892
PC1,4,single_shap,2.16,6.724,7.27,0.5625,0.9297734627831716,0.5925980503203485,0.5297004099222924,0.7594070246753144,0.5294117647058824,0.6,0.9611650485436892
PC3,0,two_shap,8.234,23.695,24.182,0.3548387096774194,0.8017671517671517,0.3047050951388222,0.2515978702244681,0.6049002941843936,0.3055555555555556,0.4230769230769231,0.8648648648648649
PC3,0,single_shap,2.956,18.514,19.048,0.3666666666666666,0.8071725571725572,0.2854612433297315,0.2670903137408111,0.6086691798326661,0.3235294117647059,0.4230769230769231,0.8756756756756757
PC3,1,two_shap,5.932,16.131,16.567,0.36,0.854989604989605,0.3663103346956778,0.2744171328557362,0.5639923032163808,0.375,0.3461538461538461,0.918918918918919
PC3,1,single_shap,2.907,13.216,13.627,0.4615384615384615,0.8637214137214138,0.3696809949440673,0.3858627858627859,0.6531548259113046,0.4615384615384615,0.4615384615384615,0.9243243243243244
PC3,2,two_shap,5.778,16.677,17.156,0.4225352112676056,0.791891891891892,0.3063394589069789,0.3328204940375652,0.6952467068372085,0.3333333333333333,0.5769230769230769,0.8378378378378378
PC3,2,single_shap,3.024,14.015,14.464,0.4444444444444444,0.8062370062370063,0.3525983579086736,0.3607971243748676,0.7180477112229491,0.3478260869565217,0.6153846153846154,0.8378378378378378
PC3,3,two_shap,5.886,16.223,16.645,0.4242424242424242,0.8038252508361204,0.3203651078623211,0.3331221870441566,0.6799813099930022,0.35,0.5384615384615384,0.8586956521739131
PC3,3,single_shap,2.895,13.475,13.92,0.3333333333333333,0.8188754180602007,0.3119870204523401,0.2226658829189888,0.5969893810364085,0.275,0.4230769230769231,0.842391304347826
PC3,4,two_shap,7.256,16.823,17.33,0.3768115942028985,0.7954640468227425,0.3471154878833795,0.2750280493711189,0.6468989572333266,0.3023255813953488,0.5,0.8369565217391305
PC3,4,single_shap,2.75,12.142,12.648,0.4594594594594595,0.8126045150501673,0.4141591809327093,0.3807049327489703,0.7373515382569563,0.3541666666666667,0.6538461538461539,0.8315217391304348
PC4,0,two_shap,5.707,18.774,19.103,0.6835443037974683,0.9201565557729942,0.6632706718247945,0.6319115127130095,0.8435318537306798,0.6136363636363636,0.7714285714285715,0.9223744292237442
PC4,0,single_shap,2.289,13.048,13.36,0.6666666666666666,0.9232876712328766,0.7108671791059478,0.6110999342597917,0.8156972693500015,0.625,0.7142857142857143,0.9315068493150684
PC4,1,two_shap,4.738,12.103,12.394,0.5454545454545454,0.9012393998695368,0.5557137093829787,0.469327745459664,0.7713053463951166,0.4528301886792453,0.6857142857142857,0.867579908675799
PC4,1,single_shap,2.266,9.68,9.967,0.5434782608695652,0.903522504892368,0.5959122941398599,0.4694199456581215,0.7809706773985147,0.4385964912280701,0.7142857142857143,0.8538812785388128
PC4,2,two_shap,5.358,13.11,13.433,0.5454545454545454,0.9042400521852576,0.5175694852476296,0.467722715548941,0.7365227446757211,0.5,0.6,0.9041095890410958
PC4,2,single_shap,2.309,10.521,10.827,0.5185185185185185,0.901696020874103,0.5238476215411269,0.434853539517359,0.729045162740326,0.4565217391304347,0.6,0.8858447488584474
PC4,3,two_shap,6.111,14.217,14.52,0.7317073170731707,0.9435094585779517,0.6526925151195,0.6919070063092568,0.8891606455643166,0.6382978723404256,0.8571428571428571,0.9223744292237442
PC4,3,single_shap,2.497,10.645,10.962,0.6904761904761905,0.936464448793216,0.6445154096674666,0.6440124410603872,0.8676997205010496,0.5918367346938775,0.8285714285714286,0.908675799086758
PC4,4,two_shap,6.015,14.092,14.403,0.547945205479452,0.9285168195718654,0.600487216440472,0.4721601782077975,0.7157041399224547,0.5405405405405406,0.5555555555555556,0.9220183486238532
