dataset,fold,filter_criterion,n_features_selected,stage1_time_s,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
CM1,0,variance,3,3.383,0.2,0.6855555555555555,0.2685224398667795,0.1111111111111111,0.4268749491621899,0.2,0.2,0.9111111111111112
CM1,1,shap,7,3.57,0.4,0.8233333333333333,0.302416640686479,0.3333333333333333,0.6110100926607787,0.4,0.4,0.9333333333333332
CM1,1,gini,7,3.292,0.3,0.8288888888888889,0.2956601308890855,0.2222222222222222,0.5259911279353167,0.3,0.3,0.9222222222222224
CM1,1,mutual_info,6,3.651,0.3333333333333333,0.7611111111111112,0.2100865406849179,0.2497691810051685,0.5962847939999439,0.2857142857142857,0.4,0.8888888888888888
CM1,1,variance,7,3.116,0.1904761904761904,0.7972222222222223,0.2310663729596995,0.0958804158150889,0.4242640687119285,0.1818181818181818,0.2,0.9
CM1,2,shap,3,3.868,0.2777777777777778,0.7405555555555555,0.1940085661138292,0.1823843010350212,0.6191391873668903,0.1923076923076923,0.5,0.7666666666666667
CM1,2,gini,3,3.623,0.2325581395348837,0.7205555555555556,0.208190955638312,0.1205128328500821,0.5868938953886337,0.1515151515151515,0.5,0.6888888888888889
CM1,2,mutual_info,3,3.496,0.3333333333333333,0.7472222222222221,0.1974644862682776,0.2583777597996134,0.6831300510639732,0.2307692307692307,0.6,0.7777777777777778
CM1,2,variance,3,3.486,0.3888888888888889,0.7994444444444444,0.2590912680098476,0.3343712185642056,0.7431165603202651,0.2692307692307692,0.7,0.7888888888888889
CM1,3,shap,5,3.653,0.1818181818181818,0.5858024691358024,0.1262302278394232,0.0851180386339726,0.4416579314300398,0.1538461538461538,0.2222222222222222,0.8777777777777778
CM1,3,gini,5,3.438,0.1818181818181818,0.5858024691358024,0.1262302278394232,0.0851180386339726,0.4416579314300398,0.1538461538461538,0.2222222222222222,0.8777777777777778
CM1,3,mutual_info,3,3.491,0.1176470588235294,0.5728395061728395,0.1667620719640303,0.0351605423203871,0.3201080064641763,0.125,0.1111111111111111,0.9222222222222224
CM1,3,variance,3,3.535,0.1,0.6370370370370371,0.1319049256529132,0.0,0.3142696805273544,0.0909090909090909,0.1111111111111111,0.8888888888888888
CM1,4,shap,3,3.894,0.1666666666666666,0.6837078651685393,0.1909631472131472,0.0563585108803853,0.4159732057058105,0.1428571428571428,0.2,0.8651685393258427
CM1,4,gini,9,3.028,0.25,0.7735955056179775,0.2724286397547361,0.1525566587624225,0.5127585672756787,0.2142857142857142,0.3,0.8764044943820225
CM1,4,mutual_info,7,3.129,0.16,0.7084269662921349,0.2103763381232734,0.0453274159736058,0.4132632536942192,0.1333333333333333,0.2,0.8539325842696629
CM1,4,variance,3,3.429,0.2857142857142857,0.749438202247191,0.2358926383155058,0.1896181852559909,0.5805847497871377,0.2222222222222222,0.4,0.8426966292134831
KC1,0,shap,6,50.062,0.460431654676259,0.8248868778280543,0.4498465634002059,0.3556504541740143,0.6590820436573077,0.4324324324324324,0.4923076923076923,0.8823529411764706
KC1,0,gini,8,36.281,0.4148148148148148,0.818939883645766,0.4228385966657318,0.3038675018145048,0.6165147992851077,0.4,0.4307692307692308,0.8823529411764706
KC1,0,mutual_info,7,28.114,0.463768115942029,0.8328377504848093,0.4596224297608677,0.3602380610634418,0.6601273766593931,0.4383561643835616,0.4923076923076923,0.8851540616246498
KC1,0,variance,9,27.807,0.5103448275862069,0.8311786252962724,0.4445481503839718,0.4133031739418552,0.7075789422329419,0.4625,0.5692307692307692,0.8795518207282913
KC1,1,shap,8,43.821,0.391304347826087,0.7803275156216333,0.3607574175639972,0.2734584847597699,0.6015493892807312,0.3698630136986301,0.4153846153846154,0.8711484593837535
KC1,1,gini,10,17.84,0.4393939393939394,0.7944624003447532,0.3886917917102191,0.3355437565352618,0.6313985120484702,0.4328358208955223,0.4461538461538462,0.8935574229691877
KC1,1,mutual_info,9,21.572,0.4428571428571428,0.806184012066365,0.3953555678304164,0.3339629417686882,0.6466394990039299,0.4133333333333333,0.4769230769230769,0.876750700280112
KC1,1,variance,9,30.66,0.4428571428571428,0.806184012066365,0.3953555678304164,0.3339629417686882,0.6466394990039299,0.4133333333333333,0.4769230769230769,0.876750700280112
KC1,2,shap,6,40.63,0.4428571428571428,0.8075199310493428,0.4662208404864882,0.3339629417686882,0.6466394990039299,0.4133333333333333,0.4769230769230769,0.876750700280112
KC1,2,gini,6,14.615,0.4383561643835616,0.810881275587158,0.4781440733899803,0.3254348192388337,0.651717767339099,0.3950617283950617,0.4923076923076923,0.8627450980392157
KC1,2,mutual_info,6,14.866,0.4393939393939394,0.8366515837104074,0.516397842683954,0.3355437565352618,0.6313985120484702,0.4328358208955223,0.4461538461538462,0.8935574229691877
KC1,2,variance,5,12.5,0.4794520547945205,0.832967032967033,0.5044057256038632,0.3754409463363411,0.6848941083614131,0.4320987654320987,0.5384615384615384,0.8711484593837535
KC1,3,shap,8,28.551,0.4397163120567376,0.7902834525025538,0.4232746287787658,0.328855442776345,0.6415953048768678,0.4133333333333333,0.4696969696969697,0.8764044943820225
