dataset,config,F1,AUC,MCC,Gmean
camel-1.6,CostSensitive,0.37445822709136456,0.7069459259442281,0.21823930820819334,0.567647998242177
camel-1.6,FIB_Adaptive,0.36147857352676627,0.7214687143719403,0.20987522383639462,0.5514225060590485
camel-1.6,FIB_Borderline,0.3946008738729265,0.7174193724872843,0.25623080959609446,0.5748105856205126
camel-1.6,FIB_Full,0.3776428141309098,0.7179712022326623,0.2280595566516425,0.5648803807585023
camel-1.6,FIB_ShapOnly,0.39823216617722085,0.7170241091293723,0.2540207265516092,0.5820968057699066
camel-1.6,NoResample,0.22010558442012168,0.6915242662016856,0.15550344669041477,0.36524134993320273
camel-1.6,SMOTE,0.4065278029398603,0.724608095754106,0.26596802498057825,0.5870248030607852
camel-1.6,SMOTETomek,0.4032047874153137,0.7210835401157982,0.259089180893885,0.5852276318869081
synapse-1.2,ADASYN,0.6794032994032995,0.8335928489042675,0.5116728815691372,0.755139449831693
synapse-1.2,BorderlineSMOTE,0.6617296613501547,0.8234909650134563,0.4870521706746113,0.7386855084433588
synapse-1.2,CostSensitive,0.6963755199049316,0.8299884659746251,0.5380712116181163,0.7665512894875405
synapse-1.2,FIB_Adaptive,0.6888513513513514,0.8299980776624375,0.5291699441120643,0.7597308496146561
synapse-1.2,FIB_Borderline,0.672520597681888,0.8254613610149942,0.5130594177326058,0.7447102195628135
synapse-1.2,FIB_Full,0.6687377981495628,0.8206362937331795,0.5007574285961376,0.7410029541368152
synapse-1.2,FIB_ShapOnly,0.6675781240055498,0.8285851595540177,0.508781393683847,0.7440439857046075
synapse-1.2,NoResample,0.6367361954162528,0.8304017685505574,0.4918595359752584,0.7126593698403253
synapse-1.2,SMOTE,0.6825063661828368,0.8317954632833526,0.5188772853285851,0.7540405047931149
synapse-1.2,SMOTETomek,0.6589162561576355,0.8300749711649364,0.494974642300939,0.7343043647815287
tomcat,ADASYN,0.3415016479631129,0.7966092669715281,0.27465447949526434,0.6639100158618514
tomcat,BorderlineSMOTE,0.330282758177495,0.7899570437966139,0.2602230667296506,0.6421769791213412
tomcat,CostSensitive,0.3278327539278303,0.7668093322989821,0.25699150907898505,0.5815530320179749
tomcat,FIB_Adaptive,0.37331079433707715,0.7991823010234634,0.3073845412046935,0.6509738031349649
tomcat,FIB_Borderline,0.3587156751526476,0.8041554385105341,0.29106736256347226,0.633198065706245
tomcat,FIB_Full,0.3617294345204233,0.7934904424574011,0.2939278357526792,0.6482351996064366
tomcat,FIB_ShapOnly,0.3581198016680519,0.8038733736185965,0.29297177979590205,0.6686949227036431
tomcat,NoResample,0.28488888888888886,0.7702584517393435,0.2815996610048153,0.43333535583132177
tomcat,SMOTE,0.34300563510117904,0.7991528356197942,0.27369326464264004,0.6517121726416757
tomcat,SMOTETomek,0.34817337252119857,0.800456866868093,0.279109761279001,0.6578986850225932
xalan-2.4,ADASYN,0.4240840435015407,0.7868407182581513,0.3103363037866113,0.6523325075458108
xalan-2.4,BorderlineSMOTE,0.42720448982793363,0.7998112876061697,0.32156670420578665,0.6330623433286137
xalan-2.4,CostSensitive,0.41123982724085106,0.8018959083033452,0.30077743532828516,0.6195431470396823
xalan-2.4,FIB_Adaptive,0.4295522745449378,0.8078807870791078,0.3238858122924265,0.6391346439089989
xalan-2.4,FIB_Borderline,0.4438004715590923,0.8111740152423879,0.3391134282764315,0.6503583313939961
xalan-2.4,FIB_Full,0.43016810183933785,0.8046214847394376,0.31968055787460964,0.6418675201509099
xalan-2.4,FIB_ShapOnly,0.4177171262726965,0.7942838016308628,0.30201552951061533,0.6379590618453459
xalan-2.4,NoResample,0.2579366579366579,0.8012183005585645,0.22996952747002367,0.37144740904567686
xalan-2.4,SMOTE,0.4513077510724569,0.8006233870088328,0.34848224912694176,0.6674005522372142
xalan-2.4,SMOTETomek,0.43961237861913033,0.7979832309500443,0.3302052626432488,0.6629341957298371
